NestID,Num,FEDate,EntDate,FoFDate,Fail,Fail Cat,Aban,NeHW,NeCB,NnHW,NnCB,NfHW,NfCB,xLong,yLat,EntAge,FoFAge,NDays,Year,Mo,FEDay,CBP,fYear,CBHatch,SurHat?
X-27,1,5/31/13,5/31/13,6/23/13,0,No,0,4,0,4,0,4,0,-79.93919,41.78115,0,23,23,2013,5,31,No,y2013,0,1
Q-15,1,6/1/13,6/12/13,6/18/13,1,Yes,0,2,1,2,0,0,0,-79.94692,41.78318,11,17,6,2013,6,32,Yes,y2013,0,1
GG-22,1,6/1/13,6/3/13,6/24/13,0,No,0,4,0,4,0,4,0,-79.94133,41.77671,2,23,21,2013,6,32,No,y2013,0,1
U-28,1,6/1/13,6/2/13,6/24/13,0,No,0,4,0,4,0,4,0,-79.93867,41.7827,1,23,22,2013,6,32,No,y2013,0,1
H-13,1,6/2/13,6/2/13,6/4/13,1,Yes,0,1,0,0,0,0,0,-79.94894,41.78725,0,2,2,2013,6,33,No,y2013,0,0
K-19,1,6/2/13,6/9/13,6/26/13,0,No,0,4,0,4,0,4,0,-79.94459,41.78613,7,24,17,2013,6,33,No,y2013,0,1
HH-26,3,6/2/13,6/7/13,6/25/13,0,No,0,4,0,4,0,4,0,-79.93839,41.7767,5,23,18,2013,6,33,No,y2013,0,1
EE-31,1,6/2/13,6/2/13,6/7/13,1,Yes,0,3,0,0,0,0,0,-79.93562,41.77822,0,5,5,2013,6,33,No,y2013,0,0
LL-34,1,6/2/13,6/7/13,6/16/13,1,Yes,0,4,0,0,0,0,0,-79.93338,41.77504,5,14,9,2013,6,33,No,y2013,0,0
GG-30,2,6/3/13,6/19/13,6/27/13,0,No,0,4,0,4,0,4,0,-79.93612,41.77751,16,24,8,2013,6,34,No,y2013,0,1
PP-30,2,6/3/13,6/9/13,6/13/13,1,Yes,1,2,1,0,0,0,0,-79.9357,41.77369,6,10,4,2013,6,34,Yes,y2013,0,0
L-18 (L-16),2,6/5/13,6/9/13,6/28/13,0,No,0,4,0,4,0,4,0,-79.94563,41.78598,4,23,19,2013,6,36,No,y2013,0,1
R-22,2,6/5/13,6/9/13,6/29/13,0,No,0,4,0,4,0,4,0,-79.94251,41.78322,4,24,20,2013,6,36,No,y2013,0,1
FF-36 (GG-36),2,6/6/13,6/17/13,6/28/13,0,No,0,2,0,2,0,2,0,-79.93271,41.77776,11,22,11,2013,6,37,No,y2013,0,1
AA-18,1,6/7/13,6/12/13,6/13/13,1,Yes,1,2,0,0,0,0,0,-79.94402,41.77908,5,6,1,2013,6,38,No,y2013,0,0
EE-40,1,6/9/13,6/19/13,7/2/13,0,No,0,3,0,3,0,3,0,-79.93027,41.77876,10,23,13,2013,6,40,No,y2013,0,1
JJ-30 (JJ-31),2,6/11/13,6/11/13,6/13/13,1,Yes,0,2,0,0,0,0,0,-79.93616,41.77597,0,2,2,2013,6,42,No,y2013,0,0
DD-30,1,6/12/13,6/12/13,7/4/13,0,No,0,3,1,3,0,3,0,-79.93677,41.77888,0,22,22,2013,6,43,Yes,y2013,0,1
PP-30,1,6/12/13,6/19/13,6/20/13,1,Yes,0,4,0,0,0,0,0,-79.93596,41.77365,7,8,1,2013,6,43,No,y2013,0,0
H-10 (H-13),2,6/13/13,6/24/13,6/29/13,1,Yes,0,4,1,0,0,0,0,-79.95103,41.78698,11,16,5,2013,6,44,Yes,y2013,0,0
V-23 (W-23),2,6/13/13,6/13/13,7/7/13,0,No,0,4,0,4,0,4,0,-79.94143,41.78152,0,24,24,2013,6,44,No,y2013,0,1
AA-25 (Z-26),1,6/13/13,6/16/13,7/6/13,0,No,0,3,0,3,0,3,0,-79.93996,41.77975,3,23,20,2013,6,44,No,y2013,0,1
OO-36 (NN-34),2,6/15/13,6/15/13,6/27/13,1,Yes,0,4,0,0,0,0,0,-79.93246,41.77413,0,12,12,2013,6,46,No,y2013,0,0
EE-43,1,6/15/13,6/19/13,6/20/13,1,Yes,0,2,1,0,0,0,0,-79.92811,41.77902,4,5,1,2013,6,46,Yes,y2013,0,0
Y-21 (Z-21),2,6/16/13,6/18/13,7/7/13,0,No,0,3,0,3,0,3,0,-79.94189,41.78014,2,21,19,2013,6,47,No,y2013,0,1
BB-21 (AA-18),2,6/18/13,6/25/13,7/12/13,0,No,0,4,0,4,0,4,0,-79.94209,41.77847,7,24,17,2013,6,49,No,y2013,0,1
CC-23 (DD-22),2,6/18/13,6/19/13,7/14/13,1,Yes,0,4,0,0,0,0,0,-79.9409,41.77867,1,26,25,2013,6,49,No,y2013,0,0
PP-32 (PP-33),2,6/18/13,6/19/13,7/10/13,1,Yes,0,1,2,0,1,0,1,-79.93455,41.7736,1,22,21,2013,6,49,Yes,y2013,1,1
PP-40 (King Road),2,6/18/13,6/18/13,6/27/13,1,Yes,0,3,1,0,0,0,0,-79.93034,41.77348,0,9,9,2013,6,49,Yes,y2013,0,0
O-19,2,6/19/13,6/19/13,7/12/13,1,Yes,0,4,0,0,0,0,0,-79.94454,41.78454,0,23,23,2013,6,50,No,y2013,0,0
LL-29 (JJ-31),3,6/21/13,6/21/13,7/13/13,0,No,0,2,0,2,0,2,0,-79.93636,41.77515,0,22,22,2013,6,52,No,y2013,0,1
LL-33 (LL-34),2,6/21/13,6/22/13,7/14/13,0,No,0,4,0,4,0,4,0,-79.93381,41.77522,1,23,22,2013,6,52,No,y2013,0,1
BB-34,2,6/23/13,7/5/13,7/12/13,1,Yes,0,4,0,4,0,0,0,-79.93384,41.78073,12,19,7,2013,6,54,No,y2013,0,1
P-12 (Q-15),2,6/24/13,7/3/13,7/18/13,0,No,0,3,0,3,0,3,0,-79.94831,41.78358,9,24,15,2013,6,55,No,y2013,0,1
X-19 (Y-19),2,6/26/13,7/8/13,7/19/13,1,Yes,0,4,0,3,0,3,0,-79.94447,41.78056,12,23,11,2013,6,57,No,y2013,0,1
LL-36,2,6/27/13,7/1/13,7/4/13,1,Yes,0,1,1,0,0,0,0,-79.93227,41.77822,4,7,3,2013,6,58,Yes,y2013,0,0
DD-26 (BB-24),2,6/29/13,7/2/13,7/22/13,0,No,0,3,0,2,0,2,0,-79.9388,41.77809,3,23,20,2013,6,60,No,y2013,0,1
T-19 (U-19),2,7/1/13,7/3/13,7/24/13,0,No,0,4,0,3,0,3,0,-79.94348,41.78241,2,23,21,2013,7,62,No,y2013,0,1
L-18 (L-16),3,7/2/13,7/10/13,7/26/13,0,No,0,4,0,3,0,3,0,-79.94557,41.78543,8,24,16,2013,7,63,No,y2013,0,1
NN-34,3,7/2/13,7/7/13,7/26/13,0,No,0,4,0,4,0,4,0,-79.9328,41.77445,5,24,19,2013,7,63,No,y2013,0,1
King Road (PP-40),3,7/2/13,7/6/13,7/23/13,0,No,0,3,0,1,0,1,0,-79.93018,41.77409,4,21,17,2013,7,63,No,y2013,0,1
G-17 (I-17),2,7/3/13,7/10/13,7/19/13,1,Yes,0,3,0,0,0,0,0,-79.94638,41.78801,7,16,9,2013,7,64,No,y2013,0,0
I-12 (H-13),3,7/5/13,7/6/13,7/18/13,1,Yes,0,3,0,0,0,0,0,-79.94959,41.78667,1,13,12,2013,7,66,No,y2013,0,0
P-11,1,7/6/13,7/6/13,7/30/13,0,No,0,4,0,4,0,4,0,-79.94926,41.78336,0,24,24,2013,7,67,No,y2013,0,1
K-15 (J-14),2,7/6/13,7/6/13,7/12/13,1,Yes,0,4,0,0,0,0,0,-79.94762,41.78618,0,6,6,2013,7,67,No,y2013,0,0
U-28,2,7/6/13,7/11/13,7/28/13,0,No,0,3,0,3,0,2,0,-79.93943,41.78255,5,22,17,2013,7,67,No,y2013,0,1
X-27,2,7/6/13,7/11/13,7/19/13,1,Yes,0,4,0,0,0,0,0,-79.93914,41.78099,5,13,8,2013,7,67,No,y2013,0,0
GG-26 (HH-26),2,7/6/13,7/11/13,7/29/13,0,No,0,4,0,3,0,3,0,-79.93864,41.77706,5,23,18,2013,7,67,No,y2013,0,1
DD-28 (CC-27),2,7/6/13,7/7/13,7/28/13,0,No,0,3,0,3,0,3,0,-79.93763,41.77844,1,22,21,2013,7,67,No,y2013,0,1
PP-30,4,7/8/13,7/9/13,7/30/13,0,No,0,3,0,3,0,3,0,-79.93579,41.77364,1,22,21,2013,7,69,No,y2013,0,1
T-16 (S-15),2,7/10/13,7/12/13,7/25/13,0,No,0,3,0,3,0,null,0,-79.94592,41.7823,2,15,13,2013,7,71,No,y2013,0,1
K-21 (K-19),2,7/10/13,7/15/13,7/25/13,0,No,0,4,0,4,0,null,0,-79.94353,41.78629,5,15,10,2013,7,71,No,y2013,0,1
JJ-35 (LL-36),3,7/11/13,7/14/13,7/26/13,0,No,0,3,0,3,0,null,0,-79.93311,41.77645,3,15,12,2013,7,72,No,y2013,0,1
GG-22,2,7/12/13,7/14/13,7/19/13,1,Yes,0,3,0,0,0,0,0,-79.9414,41.77646,2,7,5,2013,7,73,No,y2013,0,0
Y-23 (Z-21),3,7/14/13,7/16/13,7/25/13,0,No,0,3,0,null,0,null,0,-79.94116,41.78066,2,11,9,2013,7,75,No,y2013,0,null
EE-30 (GG-30),3,7/14/13,7/14/13,7/24/13,0,No,0,3,0,null,0,null,0,-79.93656,41.77815,0,10,10,2013,7,75,No,y2013,0,null
EE-39 (EE-40),2,7/14/13,7/18/13,7/27/13,1,Yes,1,3,0,0,0,0,0,-79.93066,41.7788,4,13,9,2013,7,75,No,y2013,0,0
KK-27 (JJ-31),4,7/18/13,7/25/13,8/9/13,0,No,0,3,0,3,0,3,0,-79.93733,41.7751,7,22,15,2013,7,79,No,y2013,0,1
K-15 (J-14),3,7/31/13,8/20/13,8/23/13,0,No,0,3,0,3,0,3,0,-79.94765,41.78611,20,23,3,2013,7,92,No,y2013,0,1
DD-22,1,5/19/14,5/23/14,6/5/14,1,Yes,0,3,0,3,0,0,0,-79.94096,41.77822,4,17,13,2014,5,19,No,y2014,0,1
KK-27,1,5/19/14,5/19/14,6/12/14,0,No,0,4,0,4,0,3,0,-79.93796,41.77509,0,24,24,2014,5,19,No,y2014,0,1
Z-24,1,5/20/14,5/20/14,6/9/14,1,Yes,0,3,1,0,0,0,0,-79.94041,41.78009,0,20,20,2014,5,20,Yes,y2014,0,0
W-23,1,5/20/14,5/20/14,5/25/14,1,Yes,0,1,2,0,0,0,0,-79.94158,41.78112,0,5,5,2014,5,20,Yes,y2014,0,0
